club_team,division,first_name,last_name,player_slug
delirium,open,Chase,Miller,chase-miller
delirium,open,Cole,Chanler,cole-chanler
delirium,open,Cole,Krucke,cole-krucke
delirium,open,Daniel,Palladino,daniel-palladino
delirium,open,Ian,Maddox,ian-maddox
delirium,open,Caleb,Myatt,caleb-myatt
delirium,open,Jesus,Gonzalez,jesus-gonzalez
delirium,open,Ryan,Hill,ryan-hill
delirium,open,Sam,Rose,sam-rose
delirium,open,Sam,Batson,sam-batson
delirium,open,William,Lindquist,william-lindquist
delirium,open,Zach,Brennan,zach-brennan
delirium,open,Eric,Sinkler,eric-sinkler
delirium,open,Jack,Stephenson,jack-stephenson
delirium,open,Jacob,Dangler,jacob-dangler
delirium,open,Madison,Head,madison-head
delirium,open,Evan,Marshall,evan-marshall
delirium,open,Jake,Powell,jake-powell
delirium,open,Ryan,Murphy,ryan-murphy
delirium,open,Ryan,Flick,ryan-flick
delirium,open,Charles,Loudermilk,charles-loudermilk
delirium,open,Jon,RossIngley,jon-ross-ingley
delirium,open,Sam,Diffin,sam-diffin
delirium,open,Ross,Barnes,ross-barnes
delirium,open,Samuel,Trent,samuel-trent
delirium,open,William,Fleming,william-fleming
space cowboys,open,J,Seymour,j-seymour
space cowboys,open,Andrew,Wetzel,andrew-wetzel
space cowboys,open,Logan,McMillen,logan-mcmillen
space cowboys,open,Andrew,Allen,andrew-allen
space cowboys,open,Ian,Stone,ian-stone
space cowboys,open,Ethan,Phillips,ethan-phillips
space cowboys,open,Austin,McCallum,austin-mccallum
space cowboys,open,Thomas,Loar,thomas-loar
space cowboys,open,Jacob,Luksik,jacob-luksik
space cowboys,open,Jake,Barton,jake-barton
space cowboys,open,Kenneth,Peters,kenneth-peters
space cowboys,open,David,Wingo,david-wingo
space cowboys,open,Lucas,Skidmore,lucas-skidmore
space cowboys,open,Tucker,McMillen,tucker-mcmillen
space cowboys,open,James,Lowell,james-lowell
space cowboys,open,Blake,Huffman,blake-huffman
