first_name,last_name,ufa_team,club_team,division,rank,rating
,,,lightning,mixed,246.0,45.5
,,,robot,mixed,67.0,1238.99
,,,haymaker,open,76.0,1377.16
,,,lights out,mixed,58.0,1311.04
,,,memphis pharaohs,open,172.0,825.27
,,,pow!,mixed,231.0,259.66
,,,second nature,open,89.0,1299.6
,,,queen city gambit,mixed,115.0,997.8
,,,truck stop,open,1.0,2499.23
,,,nomads,open,127.0,1051.02
,,,mystery box,open,43.0,1597.54
,,,scythe,open,103.0,1203.08
,,,elevate,mixed,210.0,452.38
,,,loaded panda,open,204.0,642.29
,,,nomad,open,156.0,889.95
Aaron,Coble,growlers,california burrito,mixed,41.0,1488.22
,,,powderhogs,open,128.0,1048.49
,,,greater baltimore anthem,mixed,59.0,1309.03
,,,mavericks,open,140.0,973.6
,,,charleston heat stroke,open,93.0,1291.36
,,,make it rain,open,141.0,971.54
,,,ramp,mixed,29.0,1622.75
,,,firefly tx,open,165.0,858.17
,,,cowtown cannons,open,125.0,1056.61
,,,red tide,open,79.0,1371.93
,,,monsoon,open,242.0,247.9
,,,quails,mixed,215.0,419.03
,,,air throwmads,mixed,202.0,515.63
,,,switchback,open,60.0,1475.77
,,,queen city gambit,mixed,115.0,997.8
,,,bw ultimate,mixed,36.0,1511.22
,,,choco ghost house,mixed,172.0,690.8
,,,surly gmx,mixed,,
,,,kansas city smokestack,open,36.0,1641.9
,,,nashville mudcats,open,150.0,926.2
,,,american barbecue,mixed,70.0,1214.93
,,,oni,open,193.0,724.7
,,,town hall stars,open,186.0,754.3
,,,townies,mixed,48.0,1402.86
,,,lake superior disc,mixed,211.0,446.79
,,,town hall stars,open,186.0,754.3
,,,raptor,open,118.0,1111.59
,,,timber,open,179.0,810.55
,,,citywide special,open,110.0,1167.75
,,,flying dutchmen,open,75.0,1377.54
,,,skylab,mixed,240.0,142.38
,,,mad city vibes,mixed,236.0,233.02
,,,ps,mixed,141.0,844.57
,,,riverside,open,98.0,1278.58
,,,lake superior disc,mixed,211.0,446.79
,,,adventure time,open,254.0,-33.24
,,,madison united mixed ultimate,mixed,145.0,824.22
,,,slugfest,open,,
,,,jen city executives,open,59.0,1487.77
,,,hardta spelots,open,212.0,567.43
Aaron,Rosenthal,spiders,zyzzyva,open,20.0,1860.21
,,,zero strategy,mixed,130.0,891.48
,,,piedmont united,mixed,208.0,469.97
,,,beacon,open,47.0,1563.24
,,,pulp,open,167.0,838.31
,,,polar bears,mixed,18.0,1761.21
,,,journeymen,open,152.0,913.71
,,,brawl,open,68.0,1418.55
,,,power point ultimate,open,248.0,137.63
,,,firefly tx,open,165.0,858.17
,,,cash crop 2,open,40.0,1620.37
,,,grit,open,208.0,590.49
,,,fungi,open,57.0,1492.54
,,,midnight nut busters,mixed,249.0,-24.22
,,,'shine,mixed,12.0,1851.08
,,,forge,open,225.0,488.24
,,,indiana pterodactyl attack (ipa),mixed,,
,,,xist,mixed,7.0,1920.86
,,,bullet train,mixed,77.0,1162.69
,,,moondog,mixed,25.0,1648.28
,,,prion,mixed,165.0,761.72
,,,dirty bird,mixed,43.0,1478.32
,,,quick draw,mixed,53.0,1350.55
,,,buffalo brain freeze,mixed,207.0,479.62
,,,904 shipwreck,mixed,133.0,873.62
,,,indiana pterodactyl attack (ipa),mixed,,
,,,mad udderburn,mixed,86.0,1121.14
,,,risky business,mixed,85.0,1126.47
,,,brackish,mixed,91.0,1086.1
,,,jabba,mixed,116.0,992.19
,,,league of shadows,mixed,65.0,1248.69
,,,madison united mixed ultimate,mixed,145.0,824.22
,,,spectre,mixed,88.0,1108.62
,,,hive,mixed,90.0,1088.37
,,,fungi,open,57.0,1492.54
,,,firefly,mixed,138.0,853.69
,,,california burrito,mixed,41.0,1488.22
,,,red flag,mixed,10.0,1876.21
,,,triumph,open,101.0,1212.73
